"","parent","node","branch.length","label","isTip","x","y","branch","angle"
"1",18,1,237.574619,"Tsuga_canadensis",TRUE,352.234677,1,233.4473675,22.5
"2",18,2,237.574618,"Pinus_strobus",TRUE,352.234676,2,233.447367,45
"3",19,3,180.628282,"Sassafras_albidum",TRUE,352.234676,3,261.920535,67.5
"4",22,4,10.033727,"Acer_rubrum",TRUE,352.234679,6,347.2178155,135
"5",22,5,10.033725,"Acer_saccharum",TRUE,352.234677,7,347.2178145,157.5
"6",25,6,40.409994,"Fagus_grandifolia",TRUE,352.234677,9,332.02968,202.5
"7",27,7,0.127739,"Quercus_velutina",TRUE,352.234676,11,352.1708065,247.5
"8",27,8,0.127739,"Quercus_rubra",TRUE,352.234676,12,352.1708065,270
"9",26,9,2.069011,"Quercus_alba",TRUE,352.234676,10,351.2001705,225
"10",28,10,49.373494,"Carya_ovata",TRUE,352.234677,13,327.54793,292.5
"11",30,11,9.038813,"Betula_alleghaniensis",TRUE,352.234676,15,347.7152695,337.5
"12",30,12,9.038813,"Betula_lenta",TRUE,352.234676,16,347.7152695,360
"13",29,13,14.365945,"Betula_papyrifera",TRUE,352.234676,14,345.0517035,315
"14",23,14,105.935984,"Prunus_serotina",TRUE,352.234677,8,299.266685,180
"15",31,15,107.609469,"Kalmia_latifolia",TRUE,352.234678,4,298.4299435,90
"16",31,16,107.609468,"Fraxinus_americana",TRUE,352.234677,5,298.429943,112.5
"17",17,17,0,"Spermatophyta",FALSE,0,3.08984375,0,69.521484375
"18",17,18,114.660058,"Pinales",FALSE,114.660058,1.5,57.330029,33.75
"19",17,19,171.606394,"",FALSE,171.606394,4.6796875,85.803197,105.29296875
"20",19,20,61.462776,"Gunneridae",FALSE,233.06917,6.359375,202.337782,143.0859375
"21",20,21,1.630767,"Rosidae",FALSE,234.699937,8.21875,233.8845535,184.921875
"22",21,22,107.501015,"",FALSE,342.200952,6.5,288.4504445,146.25
"23",21,23,11.598756,"",FALSE,246.298693,9.9375,240.499315,223.59375
"24",23,24,43.63059,"",FALSE,289.929283,11.875,268.113988,267.1875
"25",24,25,21.8954,"Fagaceae",FALSE,311.824683,9.875,300.876983,222.1875
"26",25,26,38.340982,"",FALSE,350.165665,10.75,330.995174,241.875
"27",26,27,1.941272,"",FALSE,352.106937,11.5,351.136301,258.75
"28",24,28,12.9319,"",FALSE,302.861183,13.875,296.395233,312.1875
"29",28,29,35.007548,"",FALSE,337.868731,14.75,320.364957,331.875
"30",29,30,5.327132,"",FALSE,343.195863,15.5,340.532297,348.75
"31",20,31,11.556039,"Asteridae",FALSE,244.625209,4.5,238.8471895,101.25
