"","Media","MeanChloroplastPercent","SDChloroplastPercent","MedianChloroplastPercent","MaxChloroplastPercent","MeanMitochondriaPercent","SDMitochondriaPercent","MedianMitochondriaPercent","MaxMitochondriaPercent","SampleCount"
"1","Bark",0.647973485378988,1.37998339131739,0,3.44114040465972,5.31174246417397,9.24706394744733,1.94926381251899,23.8044144696505,8
"2","Branch",0.797054269681287,0.602816547040031,0.596080002680015,1.67124712174107,22.9840020424591,16.8666650811307,21.4123961104405,41.596406357982,4
"3","Coarse Root",0,0,0,0,2.77635274014323,3.21797631772329,1.08283703302653,7.52445447705041,5
"4","Fine Root",0.155928305819794,0.142259787121636,0.149291031206573,0.325131160866031,9.54947549994113,13.036274677417,4.13192663144944,28.968253968254,4
"5","Foliage",1.31619325173373,0.736151789061001,1.51932644330479,1.95631861714553,52.6866722568035,7.51985798715013,53.3563851123218,59.3914057942835,4
"6","Heartwood",0.226265032666222,0.280373971416281,0.13353845263658,0.950337216431637,6.13815541123276,7.75688573467333,3.15705305777181,29.3355239138372,14
"7","Leaf Litter",0.0413753783012739,0.0694809450700305,0.010482180293501,0.144537152618093,23.1506416055,17.6549892197986,25.3089701432152,41.9846261355695,4
"8","Mineral Soil",0,0,0,0,0.528295917423273,0.24722426510893,0.45894116652904,0.873854827343199,4
"9","Organic Soil",0,0,0,0,0.566751577815641,0.517921152654521,0.399648033130792,1.32247399403274,4
"10","Rot",0,0,0,0,1.8265688671729,0.631537047643435,1.8265688671729,2.2731329961321,2
"11","Sapwood",0.152940651526764,0.316535426012632,0,0.844992381216235,17.7641794723776,10.0608583424091,15.6270692623494,33.2997408580478,7
