species,genus,family,case
Fagus_grandifolia,Fagus,Fagaceae,2.sp.1gen.family
Betula_alleghaniensis,Betula,Betulaceae,2.sp.1gen.family
Acer_rubrum,Acer,Sapindaceae,2.sp.1gen.family
Acer_saccharum,Acer,Sapindaceae,2.sp.1gen.family
Betula_lenta,Betula,Betulaceae,2.sp.1gen.family
Tsuga_canadensis,Tsuga,Pinaceae,2.sp.1gen.family
Quercus_rubra,Quercus,Fagaceae,2.sp.1gen.family
Fraxinus_americana,Fraxinus,Oleaceae,2.sp.1gen.family
Prunus_serotina,Prunus,Rosaceae,2.sp.1gen.family
Kalmia_latifolia,Kalmia,Ericaceae,2.sp.1gen.family
Sassafras_albidum,Sassafras,Lauraceae,2.sp.1gen.family
Quercus_alba,Quercus,Fagaceae,2.sp.1gen.family
Quercus_velutina,Quercus,Fagaceae,2.sp.1gen.family
Betula_papyrifera,Betula,Betulaceae,2.sp.1gen.family
Carya_ovata,Carya,Juglandaceae,2.sp.1gen.family
Pinus_strobus,Pinus,Pinaceae,2.sp.1gen.family
